agent,chain,job_id,global_iter,loss,val,rew,entropy_coef,abc,abc_coef,sr,valid_goals,invalid_goals,avg_xy,max_xy,avg_z,ik_fail_rate,not_moved_frac
alice,0,28830260,179,0.1083,0.6287,3.1081,0.1375,,,,401,297,0.189,1.215,0.014,0.031,0.37822349570200575
alice,0,28830260,180,0.0983,0.6663,3.3191,0.1364,,,,392,325,0.183,1.118,0.014,0.039,0.401673640167364
alice,0,28830260,181,0.1007,0.6364,3.6902,0.1352,,,,413,295,0.2,1.323,0.014,0.038,0.3870056497175141
alice,0,28830260,182,0.1039,0.5904,3.0862,0.1341,,,,430,276,0.202,1.205,0.015,0.032,0.35410764872521244
alice,0,28830260,183,0.1116,0.616,3.2254,0.133,,,,399,291,0.192,1.221,0.013,0.041,0.37681159420289856
alice,0,28830260,184,0.1164,0.6436,3.5249,0.1319,,,,409,293,0.187,1.111,0.013,0.034,0.3803418803418803
alice,0,28830260,185,0.1018,0.5982,3.2652,0.1308,,,,403,318,0.184,1.23,0.014,0.035,0.391123439667129
alice,0,28830260,186,0.1217,0.6461,3.8407,0.1298,,,,413,298,0.185,1.28,0.013,0.035,0.3727144866385373
alice,0,28830260,187,0.1191,0.674,3.6368,0.1287,,,,413,281,0.182,1.059,0.014,0.038,0.3659942363112392
alice,0,28830260,188,0.0994,0.6818,3.2745,0.1277,,,,411,277,0.193,1.215,0.014,0.042,0.36627906976744184
alice,0,28830260,189,0.1263,0.6282,3.3611,0.1266,,,,427,280,0.192,1.036,0.014,0.039,0.3592644978783593
alice,0,28830260,190,0.1259,0.6785,3.7684,0.1256,,,,447,230,0.216,1.268,0.014,0.035,0.2998522895125554
alice,0,28830260,191,0.1188,0.6531,3.4706,0.1246,,,,406,263,0.194,1.021,0.014,0.04,0.35575485799701045
alice,0,28830260,192,0.0933,0.5862,3.0492,0.1236,,,,415,290,0.191,1.179,0.013,0.046,0.3730496453900709
alice,0,28830260,193,0.1173,0.602,3.0169,0.1227,,,,412,288,0.198,1.405,0.013,0.035,0.37142857142857144
alice,0,28830260,194,0.0977,0.7304,3.9071,0.1217,,,,427,247,0.215,1.106,0.014,0.04,0.3249258160237389
alice,0,28830260,195,0.1207,0.6927,3.6612,0.1207,,,,420,263,0.218,1.212,0.014,0.034,0.3279648609077599
alice,0,28830260,196,0.1322,0.6711,3.4715,0.1198,,,,426,248,0.2,1.022,0.014,0.035,0.3189910979228487
alice,0,28830260,197,0.121,0.7251,3.724,0.1189,,,,425,238,0.209,1.058,0.014,0.045,0.3152337858220211
alice,0,28830260,198,0.1049,0.7302,3.8814,0.118,,,,435,226,0.218,1.268,0.014,0.039,0.31164901664145234
alice,0,28830260,199,0.1344,0.6996,3.5348,0.1171,,,,421,244,0.207,1.127,0.014,0.037,0.32781954887218046
alice,0,28830260,200,0.0869,0.6686,3.6865,0.1162,,,,422,256,0.199,0.979,0.014,0.03,0.32890855457227136
alice,0,28830260,201,0.1576,0.611,3.5115,0.1153,,,,434,249,0.208,0.987,0.013,0.038,0.32650073206442165
alice,0,28830260,202,0.1317,0.6596,3.7209,0.1144,,,,432,227,0.215,0.975,0.014,0.039,0.3156297420333839
alice,0,28830260,203,0.1167,0.6098,3.1152,0.1136,,,,422,272,0.196,1.19,0.014,0.044,0.34293948126801155
alice,0,28830260,204,0.1005,0.5921,3.0727,0.1128,,,,416,286,0.202,1.464,0.014,0.043,0.358974358974359
alice,0,28830260,205,0.0973,0.6794,3.497,0.1119,,,,430,234,0.218,1.139,0.015,0.043,0.3057228915662651
alice,0,28830260,206,0.1327,0.7093,3.3656,0.1111,,,,433,217,0.215,1.144,0.014,0.043,0.2923076923076923
alice,0,28830260,207,0.1247,0.6775,3.2159,0.1103,,,,430,221,0.232,1.328,0.014,0.042,0.29339477726574503
alice,0,28830260,208,0.1375,0.7185,3.4674,0.1095,,,,425,221,0.217,1.025,0.014,0.044,0.29566563467492263
alice,0,28830260,209,0.1078,0.6776,3.3459,0.1087,,,,416,252,0.213,1.265,0.014,0.039,0.3383233532934132
alice,0,28830260,210,0.1083,0.7247,3.6859,0.1079,,,,413,255,0.21,1.113,0.014,0.041,0.344311377245509
alice,0,28830260,211,0.1154,0.664,3.6196,0.1072,,,,442,236,0.208,1.032,0.014,0.036,0.308259587020649
alice,0,28830260,212,0.1498,0.6543,3.7362,0.1064,,,,424,246,0.22,1.218,0.014,0.044,0.3194029850746269
alice,0,28830260,213,0.114,0.658,3.4176,0.1057,,,,424,219,0.209,1.324,0.014,0.046,0.2986003110419907
alice,0,28830260,214,0.0956,0.659,3.7661,0.1049,,,,439,225,0.215,1.208,0.013,0.036,0.3072289156626506
alice,0,28830260,215,0.129,0.6969,4.2515,0.1042,,,,443,216,0.218,0.99,0.013,0.039,0.2959028831562974
alice,0,28830260,216,0.1266,0.7125,3.7943,0.1035,,,,435,209,0.232,1.51,0.014,0.044,0.28726708074534163
