pushes,success,goal_x,goal_y,goal_z,goal_yaw,final_x,final_y,final_z,err_pos,err_rot
3,False,-0.366,0.663,0.02,0.585,-0.0,0.5,0.0,0.401,2.563
3,False,0.039,0.562,0.02,5.493,-0.0,0.5,0.0,0.076,2.349
3,False,-0.11,0.358,0.02,2.776,0.019,0.502,-0.0,0.194,0.346
3,False,0.361,0.692,0.02,3.727,-0.05,0.455,0.0,0.475,0.939
3,False,-0.257,0.54,0.02,1.983,0.391,0.415,0.0,0.66,0.192
3,False,0.28,0.301,0.02,1.581,0.27,0.664,0.0,0.363,1.262
3,False,-0.222,0.692,0.02,3.634,0.397,0.446,-0.0,0.666,0.37
3,False,0.35,0.689,0.02,5.055,0.007,0.498,0.0,0.393,1.99
3,False,-0.211,0.372,0.02,3.195,0.199,0.614,0.0,0.477,1.626
3,False,-0.178,0.376,0.02,0.141,0.267,0.505,0.0,0.465,1.347
3,False,-0.136,0.667,0.02,0.444,0.215,0.441,0.0,0.418,2.404
3,False,-0.331,0.653,0.02,1.929,-0.083,0.31,0.0,0.424,1.416
3,False,0.164,0.595,0.02,5.579,0.019,0.511,-0.0,0.168,2.682
3,False,0.23,0.347,0.02,0.363,-0.342,0.562,0.0,0.612,0.955
3,False,-0.024,0.581,0.02,3.54,0.0,0.5,0.0,0.086,0.399
3,False,0.242,0.558,0.02,5.129,0.171,0.546,0.0,0.075,2.62
3,False,-0.366,0.657,0.02,1.778,0.011,0.472,0.0,0.42,1.398
3,False,0.375,0.423,0.02,5.878,0.029,0.422,0.0,0.346,1.993
3,False,0.207,0.676,0.02,2.66,-0.018,0.401,0.0,0.356,1.213
3,False,0.323,0.514,0.02,0.407,0.023,0.479,0.0,0.302,2.3
3,False,-0.071,0.517,0.02,5.335,-0.002,0.501,-0.0,0.073,2.192
3,False,-0.253,0.597,0.02,6.254,0.016,0.417,0.0,0.325,2.34
3,False,-0.325,0.426,0.02,5.538,-0.181,0.336,0.0,0.171,2.745
3,False,-0.061,0.509,0.02,3.442,0.022,0.399,-0.0,0.139,1.327
3,False,-0.138,0.66,0.02,3.047,0.021,0.549,0.0,0.195,1.081
3,False,0.306,0.529,0.02,0.011,0.131,0.526,0.0,0.176,1.835
3,False,0.291,0.375,0.02,1.29,-0.029,0.554,0.0,0.367,1.785
3,False,-0.058,0.366,0.02,5.584,-0.0,0.5,-0.0,0.147,2.441
3,False,0.069,0.559,0.02,3.503,0.063,0.34,0.0,0.219,1.005
3,False,-0.366,0.47,0.02,0.719,0.037,0.617,0.0,0.429,2.611
3,False,-0.284,0.65,0.02,4.286,-0.228,0.398,-0.0,0.259,1.139
3,False,0.14,0.692,0.02,4.386,0.137,0.467,0.0,0.226,1.732
3,False,0.218,0.44,0.02,4.627,0.041,0.538,0.0,0.203,1.585
3,False,0.366,0.596,0.02,5.828,0.262,0.382,0.0,0.239,2.646
3,False,-0.381,0.545,0.02,1.93,0.053,0.518,0.0,0.435,1.541
3,False,-0.333,0.423,0.02,0.736,0.331,0.321,0.0,0.673,2.906
3,False,-0.156,0.431,0.02,3.769,0.044,0.387,0.0,0.206,0.915
3,False,-0.351,0.44,0.02,0.455,0.093,0.275,0.0,0.474,1.3
3,False,-0.181,0.555,0.02,5.63,0.076,0.547,0.063,0.26,2.622
3,False,-0.301,0.306,0.02,5.924,0.0,0.5,0.0,0.359,2.782
3,False,0.035,0.589,0.02,1.565,0.084,0.578,0.0,0.053,0.831
3,False,-0.319,0.592,0.02,5.102,0.016,0.478,0.0,0.355,1.792
3,False,0.221,0.607,0.02,2.589,0.195,0.448,0.0,0.162,0.709
3,False,0.013,0.575,0.02,2.032,0.001,0.506,0.0,0.073,1.227
3,False,0.364,0.575,0.02,4.773,-0.011,0.483,0.0,0.387,1.425
3,False,-0.076,0.443,0.02,0.181,-0.013,0.42,-0.0,0.07,2.483
3,False,0.136,0.679,0.02,3.3,0.02,0.322,0.0,0.376,0.725
3,False,-0.365,0.61,0.02,4.35,-0.0,0.5,0.0,0.381,1.206
3,False,-0.124,0.534,0.02,2.37,0.248,0.289,0.0,0.446,0.754
3,False,0.002,0.461,0.02,2.032,-0.0,0.5,0.0,0.044,1.112
3,False,-0.334,0.591,0.02,0.134,0.166,0.585,0.0,0.5,1.205
3,False,-0.322,0.375,0.02,0.193,0.065,0.647,-0.0,0.473,2.7
3,False,0.018,0.635,0.02,0.532,-0.001,0.499,0.0,0.139,2.66
3,False,0.274,0.553,0.02,6.057,-0.104,0.409,0.0,0.405,1.92
3,False,-0.118,0.326,0.02,2.329,-0.161,0.471,0.0,0.153,1.079
3,False,0.161,0.642,0.02,0.137,-0.056,0.647,0.0,0.218,2.53
3,False,-0.151,0.533,0.02,4.594,0.0,0.5,0.0,0.156,1.453
3,False,-0.251,0.473,0.02,2.637,-0.213,0.227,-0.0,0.25,0.595
3,False,-0.069,0.448,0.02,5.372,0.061,0.502,-0.0,0.142,2.248
3,False,0.053,0.348,0.02,4.122,0.019,0.527,-0.0,0.183,0.976
3,False,0.084,0.634,0.02,1.439,-0.029,0.539,0.0,0.148,2.106
3,False,0.394,0.323,0.02,0.664,0.217,0.437,0.0,0.211,2.575
3,False,0.37,0.322,0.02,5.197,0.071,0.264,0.084,0.311,2.176
3,False,0.065,0.563,0.02,0.536,0.063,0.449,0.0,0.116,2.512
2,False,-0.109,0.482,0.02,5.963,-0.003,0.378,0.06,0.154,2.296
3,False,0.15,0.606,0.02,4.13,0.124,0.536,0.0,0.077,1.597
3,False,-0.0,0.599,0.02,4.061,0.023,0.4,0.0,0.202,0.052
3,False,0.283,0.431,0.02,6.083,-0.403,0.31,0.0,0.697,2.841
3,False,0.304,0.546,0.02,1.82,-0.0,0.5,-0.0,0.308,1.322
3,False,-0.037,0.624,0.02,3.019,0.044,0.478,0.0,0.168,0.332
3,False,-0.375,0.679,0.02,3.351,-0.102,0.238,0.0,0.519,0.533
3,False,-0.053,0.489,0.02,0.292,0.001,0.501,0.0,0.059,2.799
3,False,-0.253,0.47,0.02,5.165,0.17,0.434,0.0,0.425,1.659
3,False,-0.14,0.425,0.02,2.429,-0.0,0.5,-0.0,0.16,0.713
3,False,-0.319,0.516,0.02,1.669,0.011,0.581,0.0,0.337,1.38
3,False,0.26,0.544,0.02,6.092,0.004,0.534,0.0,0.257,2.52
3,False,0.309,0.301,0.02,1.057,0.086,0.579,0.063,0.359,1.571
3,False,-0.366,0.341,0.02,2.736,-0.003,0.541,-0.0,0.415,0.954
3,False,0.058,0.445,0.02,5.92,0.04,0.617,0.0,0.174,2.933
3,False,0.08,0.46,0.02,3.443,-0.017,0.513,0.0,0.113,0.001
3,False,0.022,0.424,0.02,3.436,-0.0,0.5,0.0,0.082,0.292
3,False,-0.247,0.555,0.02,3.067,-0.07,0.544,0.0,0.178,0.662
3,False,-0.312,0.324,0.02,2.141,-0.0,0.5,0.0,0.359,1.003
3,False,-0.321,0.609,0.02,5.32,0.036,0.545,0.0,0.363,1.785
3,False,0.1,0.551,0.02,4.367,-0.046,0.233,0.0,0.35,0.004
3,False,-0.163,0.329,0.02,2.849,-0.223,0.664,0.0,0.341,1.854
3,False,-0.162,0.613,0.02,4.664,0.004,0.516,-0.0,0.193,1.568
3,False,-0.373,0.651,0.02,4.89,-0.093,0.489,-0.0,0.325,0.641
3,False,0.16,0.546,0.02,4.027,-0.171,0.699,-0.0,0.365,1.568
3,False,-0.106,0.526,0.02,2.542,-0.0,0.5,0.0,0.111,0.602
3,False,-0.157,0.429,0.02,5.151,0.004,0.514,0.0,0.183,1.85
3,False,-0.277,0.501,0.02,4.558,-0.054,0.557,-0.0,0.23,0.724
3,False,0.286,0.443,0.02,3.191,0.0,0.5,0.0,0.293,0.049
3,False,-0.095,0.42,0.02,4.844,-0.0,0.5,-0.0,0.126,1.702
3,False,0.377,0.406,0.02,2.289,0.033,0.572,0.0,0.382,0.084
3,False,-0.146,0.316,0.02,0.718,0.241,0.567,0.0,0.462,0.762
3,False,-0.347,0.679,0.02,3.507,-0.094,0.618,0.0,0.261,0.648
3,False,0.312,0.359,0.02,2.96,0.134,0.357,0.0,0.179,2.022
3,False,0.331,0.553,0.02,1.367,0.223,0.699,0.0,0.183,0.295
3,False,-0.36,0.626,0.02,6.161,0.2,0.295,-0.0,0.651,2.858
3,False,0.321,0.476,0.02,5.003,-0.018,0.547,0.0,0.347,1.658
3,False,-0.141,0.463,0.02,4.23,0.059,0.573,0.0,0.23,0.424
3,False,0.333,0.466,0.02,1.657,-0.043,0.608,0.0,0.403,0.441
3,False,-0.026,0.558,0.02,0.646,0.051,0.517,0.0,0.09,2.72
3,False,0.294,0.338,0.02,2.442,0.281,0.482,0.0,0.146,0.964
3,False,-0.003,0.588,0.02,2.512,-0.0,0.5,-0.0,0.091,0.63
